id,case_name,author,source_title,source_url,published_date,scope,article_type,genre,views,likes,like_rate,likes_per_1000_views,like_rate_band,data_quality,include_in_average,evidence,feature_notes
watamari_01,ビュー数1位だがスキが少ない記事,渡辺まりこ,note裏側の数値公開。「スキ数」と「ビュー数」は比例しない！,https://note.com/watamari/n/n1f2426e124a2,2025-05-11,article,情報・検索流入型,note運用,1137,1,0.0879507476,0.879507476,低い (<2%),exact,True,1137ビューでスキ数1なので、スキを押してくれた方は全体の0.1%程度,ビューは多いがスキ率は極端に低い。広く表示されたが深い共感にはつながらなかった例。
watamari_02,スキ率が高かった記事,渡辺まりこ,note裏側の数値公開。「スキ数」と「ビュー数」は比例しない！,https://note.com/watamari/n/n1f2426e124a2,2025-05-11,article,共感・体験型,note運用,876,120,13.698630137,136.98630137,優秀 (10-15%),exact,True,876ビューで120スキなので、スキ率は約14％,ビュー数よりも読者反応が強い。共感・関係性の強い読者に届いた可能性が高い。
xdope_total,1ヶ月目アカウント全体,ドープ,note初心者の1ヶ月目のリアルな成績【ビュー数&スキ数を全公開！】,https://note.com/x_dope_x/n/nb00bc3839f0f,2026-02-18,account_period,運用報告,資産形成・副業,1920,108,5.625,56.25,良好 (5-10%),exact,True,"全体のビュー数は1,920PV。累計スキ数は108。",初心者アカウントの1ヶ月集計。一般的な3〜5%帯を少し上回る。
xdope_article,【資産1000万円】20代で貯めると人生イージーゲームになる3つの理由,ドープ,note初心者の1ヶ月目のリアルな成績【ビュー数&スキ数を全公開！】,https://note.com/x_dope_x/n/nb00bc3839f0f,2026-02-18,article,体験ベースのノウハウ,資産形成・副業,60,8,13.3333333333,133.333333333,優秀 (10-15%),exact,True,ビュー数は60、スキ数が8です。13.33%でした。,ビューは少ないが体験と金額の具体性で高反応。
life_is_empty_final,note集客検証記事・2日後,life_is_empty,note初心者がぶつかる壁！！スキ率は良いのにビューが伸びない理由,https://note.com/life_is_empty/n/n191571a71ffa,2026-03-18,article_snapshot,検証・ノウハウ,note集客,55,14,25.4545454545,254.54545454499998,非常に優秀 (15%+),exact,True,投稿直後はビュー26、スキが4...2日後の3/17現在はビューが55、スキが14と伸びました。,露出は小さいが、読んだ人の反応が強い。タイトルが具体課題に直結。
life_is_empty_initial,note集客検証記事・投稿直後,life_is_empty,note初心者がぶつかる壁！！スキ率は良いのにビューが伸びない理由,https://note.com/life_is_empty/n/n191571a71ffa,2026-03-18,article_snapshot,検証・ノウハウ,note集客,26,4,15.3846153846,153.846153846,非常に優秀 (15%+),exact,False,投稿直後はビュー26、スキが4,同一記事の初期スナップショット。平均計算では重複回避のため除外。
pure_rose_article,最高スキ29回の記事,pure_rose,noteの「スキ率」を計算したら、明日への活力が湧いてきた話,https://note.com/pure_rose25253/n/n01b6a2332ae4,2026-04-24,article,共感・体験型,ライフログ,136,29,21.3235294118,213.23529411799998,非常に優秀 (15%+),exact,True,スキを29回押された記事...その記事のビュー数は136回。スキ率...21％,小規模ビューでも強い共感が発生した高スキ率記事。
mimi_total_10000,15投稿累計・10000ビュー達成時,実家細ニキ,noteの振り返り① noteを始めて3か月半・15投稿で10000ビュー/1000スキ/100フォロワー達成,https://note.com/mimi0926ruichan/n/n17275d51334c,2024-10-10,account_period,運用報告,旅行・海外生活,10000,1000,10.0,100.0,優秀 (10-15%),exact,True,15投稿の末ついにnoteのアクセス数10000ビュー/1000スキ/100フォロワーを達成,旅行ジャンルで投稿数は少ないが高水準の累計反応。
mimi_total_8467,3ヶ月累計・9/13時点,実家細ニキ,noteの振り返り① noteを始めて3か月半・15投稿で10000ビュー/1000スキ/100フォロワー達成,https://note.com/mimi0926ruichan/n/n17275d51334c,2024-10-10,account_period,運用報告,旅行・海外生活,8467,881,10.4051021613,104.051021613,優秀 (10-15%),exact,True,ここまでの3ヶ月の累計を集計すると8467ビュー、881スキ,旅行の感想・情報記事の組み合わせが伸長要因として語られている。
honest_zinnia_total,1ヶ月目アカウント全体,honest_zinnia,note始めて1ヶ月。3400ビュー突破！正直な結果を公開します,https://note.com/honest_zinnia946/n/n94fe3d27a97c,2026-03-16,account_period,運用報告,AI・ライフログ,3404,287,8.4312573443,84.312573443,良好 (5-10%),exact,True,"全体ビュー：3,404、スキ：287、投稿記事数：約25記事",AI関連の記事が700ビュー超え。初心者運用で良好な反応。
sunshita_past_hit,前アカウント最高ヒット作,サンシタ,noteを1ヶ月毎日書き続けるとどうなるのか？ダッシュボード公開,https://note.com/sunshita_note/n/nbbba678c9e7a,2024-08-31,article,ヒット記事,不明・一般,100000,2000,2.0,20.0,標準下限 (2-5%),approximate,False,前アカウントの最高ヒット作では単発10万ビュー超え、2000近いスキ,大規模露出ではスキ率が下がる典型例。近似値のため平均からは除外。
